elpd_diff	se_diff	Abs_LowerBound	T_stat	Phenotype	SGB	Covariates	k_good	k_ok	k_bad	k_verybad	phylo_mean	phylo_median	phylo_sd	phylo_mad	phylo_q5	phylo_q95	phylo_rhat	phylo_ess_bulk	phylo_ess_tail	Continent	P_value	P_bonferroni	FDR	Percentage_badk	Cutoff
-0.0190212230322242	0.155950059347479	-0.2928788956627338	-0.12196996340887693	adenoma	t__SGB5045	Age+Country	807	6	0	0	0.28237560743625	0.23826	0.2116984416178092	0.2091577949999999	0.02227042	0.6947118499999999	1.0025653783507156	2017.421055818208	1714.5502011434116	Asia	0.9029228063559	2994.9949486825203	0.9613833758972864	0	FALSE
-0.234335725359758	1.93112370083441	-3.627911676309062	-0.12134682271182576	Age	t__SGB4532	Country	921	0	0	0	2.03809665367725	1.93969	1.1407951004681802	1.1097038609999998	0.34863935	4.084086999999997	1.0012562209019096	867.2757283146328	1149.3328862809506	Asia	0.9034163348422797	2996.631982671842	0.9613833758972864	0	FALSE
-0.214238475758021	1.78377724282063	-3.353316009883239	-0.12010382833411	Age	t__SGB4815_group	Country	182	0	0	0	5.1621446907575	4.808055	2.989878826675517	2.935755563999999	0.8022876000000001	10.59763	1.0120414007988645	549.4021835888752	574.4267761140914	Asia	0.9044008997742337	2999.897784551133	0.9618139738862241	0	FALSE
-0.0795301290153274	0.670927042132112	-1.2623239552488963	-0.11853767104481557	CRC	t__SGB4914	Age+Country	1415	13	1	0	0.19886009909875	0.1665174999999999	0.1535457339790134	0.1497903397199999	0.017129535	0.4992653499999999	0.99979608407098	2527.6337871945275	2916.4134661640064	Asia	0.9056416483140666	3004.0133474577588	0.9626434829582988	0.06997900629811056	FALSE
-0.154279577046097	1.34050688188365	-2.526734186721203	-0.11509047743888252	BMI	t__SGB15323	Age+Country	527	0	0	0	0.667751248572	0.6437265000000001	0.410113982754699	0.4506711111000001	0.06399797	1.3923039999999998	1.0064614769566589	395.8865031547374	323.4486112508579	Asia	0.9083734076512071	3013.074593179054	0.9633637173981486	0	FALSE
-0.0257376926608455	0.232202556961469	-0.4386674212620924	-0.11084155574185316	Age	t__SGB14025	Country	14	1	0	0	3.634841716643	2.9103850000000002	2.9716583109743064	2.71152714	0.23982855	9.6212525	1.0011499807354338	2112.978158379104	2341.7273792029287	Asia	0.9117419916466782	3024.2481862920317	0.9660362792334152	0	FALSE
-0.0461324816789723	0.416790155052471	-0.7874478284259697	-0.11068515203571576	adenoma	t__SGB4758_group	Age+Country	447	18	3	0	0.294679926541975	0.2601615	0.2090348315771927	0.2170726550999999	0.023337465	0.6799943499999999	1.001354753432253	2233.737113172861	1800.9352501833291	Asia	0.9118660205848124	3024.6595902798226	0.9660362792334152	0.641025641025641	FALSE
-0.162108336051876	1.47893029884378	-2.795752261635684	-0.10961188379101533	Age	t__SGB4868	Country	415	1	0	0	3.2853136464225	3.05505	2.255123640340248	2.685596466	0.2343116	7.248084999999999	1.0098858345891797	370.8951412026689	385.867562259612	Asia	0.9127171855499738	3027.4829044692633	0.9661397567023885	0	FALSE
-0.100176353002242	0.940073902157102	-1.779971451311962	-0.10656221045215322	Age	t__SGB4537	Country	394	0	0	0	2.932646034975	2.468065	2.2728615090378264	2.3646409941	0.17727315	7.283904	1.0102008607300357	710.6578814635944	1033.1653388144905	Asia	0.9151362995135066	3035.5071054863015	0.9673381470638308	0	FALSE
-0.0188762309703971	0.186621530095357	-0.3543668292203169	-0.10114712359689695	antibiotics_current_use	t__SGB4644	Age+Country	578	10	3	0	0.42829405387975	0.3960625	0.2828057487720524	0.3160406528999999	0.03832094	0.9440171999999998	1.000266876665993	1438.6910049860412	1455.7155683609724	Asia	0.9194336706102311	3049.7614854141366	0.9706433753705082	0.5076142131979695	FALSE
-0.0141069624117272	0.141915072824396	-0.2697231832370648	-0.09940425728550331	antibiotics_current_use	t__SGB4837_group	Age+Country	1392	16	1	0	0.326439053303	0.2854975	0.2358362228850102	0.2414606838	0.028683925	0.7664184499999999	1.0029318897807098	2205.339230182761	2085.912322630431	Asia	0.9208173026827831	3054.3509929987913	0.9707334152751105	0.07097232079488999	FALSE
-0.0376269053489118	0.404525176804613	-0.7714234482603142	-0.09301499018214562	T2D	t__SGB4269	Age+Country	1020	33	2	0	0.23623476387205	0.203822	0.1717216918502426	0.17607624468	0.0201266399999999	0.5672226499999999	1.0011824350212462	2284.988918365055	2368.372351237151	Asia	0.9258916524082512	3071.1826110381694	0.9740230609338929	0.18957345971563982	FALSE
-0.0580398986529236	0.626248342993524	-1.1944567873341243	-0.09267872610327015	Age	t__SGB4810	Country	266	1	0	0	2.75731735476975	2.0438150000000004	2.451358674466818	2.0135828118	0.19506135	7.753164499999999	1.0024200264600722	1119.4303599592683	1630.5332159124755	Asia	0.9261587983676509	3072.068734185498	0.9740230609338929	0	FALSE
-0.0612804269581728	0.670505950442531	-1.2797314739268892	-0.0913943074147634	CRC	t__SGB15254	Age+Country	1468	37	7	0	0.2561796595025	0.228601	0.1750899150590382	0.1861826840999999	0.02385553	0.58201085	0.9999150893400008	2048.2172473302894	2324.811025083954	Asia	0.9271792848453284	3075.4536878319545	0.974447811228232	0.4629629629629629	FALSE
-0.0428507659240278	0.479591240170337	-0.9163317144166462	-0.0893485166843507	Age	t__SGB15370	Country	34	0	0	0	6.569498859595	5.585725	5.065056605798228	5.05596252	0.4787768	16.195809999999994	1.0034265243969585	1447.9845328994077	2198.351390991078	Asia	0.9288049374829968	3080.8459776311	0.975259885289997	0	FALSE
-0.0685593049436841	0.776785189769091	-1.4850110745944978	-0.08826031423702119	CRC	t__SGB4563_group	Age+Country	1179	35	2	0	0.268457322025	0.243916	0.1809099694036858	0.1914036599999999	0.02482411	0.6009001999999999	1.0002954866796805	2213.07908875012	2463.278535103908	Asia	0.9296697804672154	3083.7146618097536	0.9755503517272235	0.1644736842105263	FALSE
-0.10486051386196	1.20429013396427	-2.30371975406658	-0.08707246775889564	Sex	t__SGB15286	Age+Country	1417	0	0	0	0.055082140787525	0.05353455	0.0328152349466799	0.03610553541	0.0057531115	0.1113766499999999	1.0017316038185895	808.1013087031504	1326.9872705085384	Asia	0.9306139097938975	3086.846338786358	0.9756519662225531	0	FALSE
-0.330101101351481	3.79303221594046	-7.255963330529439	-0.08702828833464954	BMI	t__SGB5087	Age+Country	647	4	0	1	1.3891108448925	1.3205	0.7590523983201803	0.793791453	0.23567795	2.7842089999999984	1.0086425717846783	273.7007803027741	430.8672712404559	Asia	0.9306490265686338	3086.9628211281583	0.9756519662225531	0.15337423312883436	FALSE
-0.0698637789523691	0.81962964603167	-1.569395513110971	-0.08523822837622153	Age	t__SGB15158	Country	215	0	0	0	2.82619452465525	2.1190800000000003	2.570428375272816	2.0660253389999994	0.1549836	8.00435499999999	1.001205395331417	1203.2366065773956	1925.968610921484	Asia	0.9320719993074134	3091.68282170269	0.9759336109152232	0	FALSE
-0.0553406573300421	0.668594252603467	-1.281847847876892	-0.08277166175830679	BMI	t__SGB3677	Age+Country	95	1	0	0	1.106626727162	0.9073245	0.8748627760075819	0.8063186816999999	0.083896415	2.8299785	1.0026093487781529	950.288581311024	797.9627986591952	Asia	0.9340331024262674	3098.187800747929	0.9761146190132101	0	FALSE
-0.0096212702273721	0.121399109276772	-0.2331769483261718	-0.07925321927557992	Hepatitis	t__SGB5077	Age+Country	456	4	0	0	0.27647773774745	0.2343965	0.2084240275308128	0.20681595417	0.02250231	0.6818757999999999	1.0027764212913446	1593.6366045216605	1473.3531761439483	Asia	0.9368312148133242	3107.4691395357963	0.9771544859823109	0	FALSE
-0.0472044706705033	0.599714188619905	-1.1522239065693067	-0.07871161224171268	Hypertension	t__SGB15316_group	Age+Country	2310	43	5	0	0.41710480231175	0.3839885	0.2701116572286354	0.3030775397999999	0.03707111	0.8972058499999997	1.0048904324566847	677.4929462074493	824.9235162169548	Asia	0.9372620089060804	3108.8980835414686	0.9771544859823109	0.21204410517387615	FALSE
-0.0713580408042169	0.95562669543955	-1.8398953500748831	-0.07467146025195022	BMI	t__SGB4563_group	Age+Country	1167	2	1	0	0.38352707377775	0.3278085	0.2818089266296663	0.2791342910999999	0.03245394	0.9216466499999998	1.000603545376161	980.8897366442224	1285.1530427710989	Asia	0.9404761156787023	3119.5592757062554	0.9785367523441447	0.08547008547008547	FALSE
-0.0401124809324811	0.537229558207786	-1.0343466354830908	-0.0746654392328999	Age	t__SGB4643	Country	44	2	0	0	3.4982079919325	2.77377	2.852294444035937	2.6499873792	0.2440422	8.99689249999999	1.0041483088916796	1191.6807394498148	1446.5118548072833	Asia	0.9404809063832178	3119.5751664731333	0.9785367523441447	0	FALSE
